X,Y,Grant.ID,fullAddress,OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_,POVScore,PHYSRatioS,Shape__Are,Shape__Len
-122.385195,40.58304001,2253197-2223,"1035 Placer Street, Redding, CA 96001",240,26,89,Shasta,189.2,Redding,Urban,1000.447898,1.92761619,91306,No,3,174,562.816092,3,0,0.027502025,1.039755628
-122.359481,37.933715,2253261-2223,"150 Harbour Way, Richmond, CA 94801",247,18,13,Contra Costa,18f,Richmond Central/San Pablo Central,Urban,5410.241094,0.75650291,46293,No,4,107,947,4,0,0.00489551,0.602327644
-118.98228,35.39664099,2253239-2223,"1111 Columbus Street, Bakersfield, CA 93305",394,24,29,Kern,66b,Bakersfield East/Lakeview/La Loma,Urban,3675.476769,1.03329319,38446,Yes,9,49,2917.877551,5,4,0.009839742,0.449317537
-118.292118,34.09779799,2253236-2223,"4700 Sunset Blvd, Los Angeles, CA 90027",447,33,37,Los Angeles,78.2g,Hollywood South Central/Inner Sunset,Urban,22439.54133,0.13156428,52412,Yes,5,757,150.9431968,5,0,0.001300042,0.208460088
-119.765829,36.83528101,2253277-2223,"1303 E Herndon Ave, Fresno, CA 93720",362,20,19,Fresno,35f,Fresno North Central,Urban,4924.583951,0.50077386,50063,Yes,5,106.8333333,749.1950078,5,0,0.004292648,0.383765263
-122.7296271,38.47974218,2253201-2223,"3569 Round Barn Circle, Santa Rosa, CA 95403",276,36,97,Sonoma,210.1,Santa Rosa,Urban,1102.480371,8.0073079,140493,No,2,359,540.7465181,2,0,0.046658835,1.419229067
-122.404931,37.75558799,2253169-2223,"1001 Potrero Avenue, San Francisco, CA 94110",173,24,75,San Francisco,162c,Bernal Heights/Mission District/Potrero Hill,Urban,22965.93635,0.21027477,75633,No,2,394,284.9746193,2,0,0.001287315,0.370995565
-117.868008,33.75133299,2253203-2223,"800 N Main St, Santa Ana, CA 92701",30,16,59,Orange,116b,Santa Ana Central,Urban,19240.88463,0.20953965,11121,Yes,7,68,1654.926471,5,2,0.001527458,0.217099919
-119.878379,36.79305399,2253208-2223,"4711 West Ashlan Avenue, Fresno, CA 93722",361,18,19,Fresno,35e,Fresno South and West,Urban,3869.075443,1.3140719,35953,Yes,10,7,13009.85714,5,5,0.006099874,0.583934185
-118.88241,34.207455,2253273-2223,"215 W Janss Rd, Thousand Oaks, CA 91360",320,24,111,Ventura,240b,Thousand Oaks Central and West,Urban,850.1758485,1.84624822,93621,No,1,156,717.6153846,1,0,0.034415562,0.939347461
